-0.000009,0.014054,0.062952
-0.000036,0.014050,0.062916
-0.000081,0.014043,0.062857
-0.000144,0.014034,0.062774
-0.000224,0.014022,0.062668
-0.000322,0.014008,0.062538
-0.000438,0.013991,0.062384
-0.000572,0.013973,0.062208
-0.000723,0.013952,0.062008
-0.000891,0.013929,0.061785
-0.001076,0.013905,0.061540
-0.001278,0.013879,0.061272
-0.001496,0.013852,0.060981
-0.001732,0.013824,0.060669
-0.001983,0.013795,0.060334
-0.002250,0.013766,0.059977
-0.002532,0.013737,0.059600
-0.002830,0.013707,0.059201
-0.003143,0.013679,0.058781
-0.003471,0.013651,0.058341
-0.003813,0.013625,0.057880
-0.004169,0.013600,0.057400
-0.004538,0.013578,0.056901
-0.004920,0.013558,0.056383
-0.005315,0.013541,0.055846
-0.005722,0.013528,0.055291
-0.006141,0.013519,0.054718
-0.006571,0.013515,0.054129
-0.007011,0.013516,0.053522
-0.007462,0.013523,0.052900
-0.007922,0.013536,0.052262
-0.008391,0.013556,0.051609
-0.008868,0.013584,0.050942
-0.009354,0.013621,0.050261
-0.009846,0.013666,0.049567
-0.010344,0.013722,0.048860
-0.010849,0.013788,0.048142
-0.011358,0.013865,0.047412
-0.011872,0.013954,0.046672
-0.012389,0.014057,0.045922
-0.012909,0.014173,0.045164
-0.013430,0.014304,0.044397
-0.013953,0.014451,0.043623
-0.014476,0.014614,0.042842
-0.014999,0.014794,0.042056
-0.015520,0.014993,0.041264
-0.016038,0.015211,0.040469
-0.016553,0.015450,0.039671
-0.017064,0.015710,0.038871
-0.017570,0.015993,0.038070
-0.018069,0.016299,0.037269
-0.018560,0.016630,0.036468
-0.019043,0.016987,0.035670
-0.019517,0.017371,0.034874
-0.019980,0.017784,0.034083
-0.020430,0.018226,0.033297
-0.020868,0.018699,0.032517
-0.021292,0.019205,0.031745
-0.021700,0.019743,0.030981
-0.022091,0.020317,0.030228
-0.022465,0.020927,0.029485
-0.022819,0.021574,0.028755
-0.023152,0.022261,0.028039
-0.023463,0.022989,0.027338
-0.023751,0.023758,0.026654
-0.024014,0.024572,0.025988
-0.024250,0.025430,0.025340
-0.024458,0.026336,0.024714
-0.024637,0.027290,0.024110
-0.024785,0.028295,0.023530
-0.024900,0.029352,0.022975
-0.024981,0.030462,0.022447
-0.025026,0.031628,0.021947
-0.025033,0.032852,0.021478
-0.025001,0.034135,0.021041
-0.024928,0.035480,0.020638
-0.024812,0.036887,0.020269
-0.024650,0.038360,0.019939
-0.024442,0.039901,0.019647
-0.024186,0.041510,0.019396
-0.023878,0.043192,0.019188
-0.023518,0.044947,0.019025
-0.023104,0.046778,0.018908
-0.022632,0.048687,0.018840
-0.022101,0.050676,0.018824
-0.021510,0.052749,0.018860
-0.020855,0.054907,0.018951
-0.020134,0.057152,0.019100
-0.019345,0.059488,0.019309
-0.018486,0.061917,0.019579
-0.017555,0.064441,0.019914
-0.016548,0.067063,0.020315
-0.015463,0.069786,0.020785
-0.014298,0.072612,0.021327
-0.013051,0.075545,0.021943
-0.011718,0.078587,0.022635
-0.010296,0.081741,0.023407
-0.008784,0.085010,0.024261
-0.007178,0.088397,0.025199
-0.005475,0.091906,0.026225
